Date - 16-AUG-2021
Instrument Serial Number - 7200150631
Software Name - CellCycle
Version Number - 1.5

 Sample No, Sample ID, No. of Events, RED M1 Gated Events Mean, RED M1 Gated Events Median, RED M1 Gated Events Std Dev, RED M1 Gated Events %CV, RED M1 Gated % Positive, RED M2 Gated Events Mean, RED M2 Gated Events Median, RED M2 Gated Events Std Dev, RED M2 Gated Events %CV, RED M2 Gated % Positive, RED M3 Gated Events Mean, RED M3 Gated Events Median, RED M3 Gated Events Std Dev, RED M3 Gated Events %CV, RED M3 Gated % Positive, RED M1 Total Events Mean, RED M1 Total Events Median, RED M1 Total Events Std Dev, RED M1 Total Events %CV, RED M1 Total % Positive, RED M2 Total Events Mean, RED M2 Total Events Median, RED M2 Total Events Std Dev, RED M2 Total Events %CV, RED M2 Total % Positive, RED M3 Total Events Mean, RED M3 Total Events Median, RED M3 Total Events Std Dev, RED M3 Total Events %CV, RED M3 Total % Positive, Total FSC Count, FSC p/ml, Total Volume (µl), Acquired Time (sec), X1 Dotplot Cursor Position, Y1 Dotplot Cursor Position, X2 Dotplot Cursor Position, Y2 Dotplot Cursor Position, M1 Marker Position X1, M1 Marker Position X2, M2 Marker Position X1, M2 Marker Position X2, M3 Marker Position X1, M3 Marker Position X2, Cells/µL, Acquisition Date, Acquisition Time, Analysis Date, Analysis Time, RED Gain, FSC Gain, FSC Threshold, Flow Rate (µL/s), User Login Name, User Full Name,
 1, hacat-un, 5978, 1233.15, 1229.57, 113.94, 9.24, 50.92, 1772.38, 1779.59, 175.18, 9.88, 21.08, 2379.64, 2353.86, 197.27, 8.29, 27.90, 1232.92, 1229.49, 114.26, 9.27, 38.37, 1772.38, 1779.59, 175.18, 9.88, 15.87, 2384.32, 2356.83, 202.08, 8.48, 21.21, 5978, 565198.69, 10.58, 44.82, 735, 2900, 2863, 273, 777.13, 1479.94, 1480.94, 2066.45, 2067.45, 2888.56, 565.20, 23-APR-2019, 12:48:44, 16-AUG-2021, 14:35:03, 9.5, 3.0, 10, 0.24, sue-PC\sue, wanchein, 
 2, h_25, 5897, 1242.72, 1245.01, 110.20, 8.87, 54.34, 1752.61, 1743.23, 162.56, 9.28, 18.27, 2372.27, 2351.96, 206.15, 8.69, 27.32, 1242.34, 1244.30, 110.11, 8.86, 42.46, 1752.61, 1743.23, 162.56, 9.28, 14.16, 2372.27, 2351.96, 206.15, 8.69, 21.18, 5897, 739268.88, 7.98, 33.80, 735, 2900, 2864, 338, 874.67, 1480.94, 1481.94, 2037.12, 2038.12, 2859.24, 739.27, 23-APR-2019, 12:50:05, 23-APR-2019, 14:59:10, 9.5, 3.0, 10, 0.24, sue-PC\sue, Unknown, 
 3, h_50, 8078, 1174.13, 1176.76, 104.79, 8.93, 49.15, 1673.02, 1667.42, 166.58, 9.96, 21.80, 2250.00, 2228.30, 183.71, 8.16, 28.93, 1174.04, 1176.73, 104.94, 8.94, 27.36, 1672.79, 1667.14, 166.65, 9.96, 12.13, 2253.57, 2229.82, 187.62, 8.33, 16.23, 8078, 965143.44, 8.37, 35.47, 531, 2900, 2689, 232, 806.45, 1391.96, 1392.96, 1949.15, 1950.15, 2712.61, 965.14, 23-APR-2019, 12:51:40, 16-AUG-2021, 14:30:21, 9.5, 3.0, 10, 0.24, sue-PC\sue, wanchein, 
