Date - 16-AUG-2021
Instrument Serial Number - 7200150464
Software Name - CellCycle
Version Number - 1.5

 Sample No, Sample ID, No. of Events, RED M1 Gated Events Mean, RED M1 Gated Events Median, RED M1 Gated Events Std Dev, RED M1 Gated Events %CV, RED M1 Gated % Positive, RED M2 Gated Events Mean, RED M2 Gated Events Median, RED M2 Gated Events Std Dev, RED M2 Gated Events %CV, RED M2 Gated % Positive, RED M3 Gated Events Mean, RED M3 Gated Events Median, RED M3 Gated Events Std Dev, RED M3 Gated Events %CV, RED M3 Gated % Positive, RED M1 Total Events Mean, RED M1 Total Events Median, RED M1 Total Events Std Dev, RED M1 Total Events %CV, RED M1 Total % Positive, RED M2 Total Events Mean, RED M2 Total Events Median, RED M2 Total Events Std Dev, RED M2 Total Events %CV, RED M2 Total % Positive, RED M3 Total Events Mean, RED M3 Total Events Median, RED M3 Total Events Std Dev, RED M3 Total Events %CV, RED M3 Total % Positive, Total FSC Count, FSC p/ml, Total Volume (µl), Acquired Time (sec), X1 Dotplot Cursor Position, Y1 Dotplot Cursor Position, X2 Dotplot Cursor Position, Y2 Dotplot Cursor Position, M1 Marker Position X1, M1 Marker Position X2, M2 Marker Position X1, M2 Marker Position X2, M3 Marker Position X1, M3 Marker Position X2, Cells/µL, Acquisition Date, Acquisition Time, Analysis Date, Analysis Time, RED Gain, FSC Gain, FSC Threshold, Flow Rate (µL/s), User Login Name, User Full Name,
 1, hacat_un, 7884, 2917.07, 2913.30, 162.53, 5.57, 56.12, 3942.88, 3908.52, 423.75, 10.75, 21.86, 5378.13, 5382.82, 357.18, 6.64, 21.67, 2917.07, 2913.30, 162.53, 5.57, 34.65, 3942.88, 3908.52, 423.75, 10.75, 13.50, 5403.34, 5397.19, 378.77, 7.01, 13.81, 7884, 356171.81, 22.14, 187.59, 2517, 3136, 6130, 231, 2536.66, 3298.12, 3299.12, 4736.07, 4737.07, 6261.00, 356.17, 15-AUG-2019, 14:51:10, 01-JUN-2021, 11:43:30, 9.5, 3.0, 10, 0.12, sue-PC\sue, wanchein, 
 2, hacat_12.5, 7940, 3292.87, 3311.99, 176.18, 5.35, 45.62, 4046.01, 3997.74, 333.93, 8.25, 21.90, 5405.98, 5425.33, 382.14, 7.07, 20.24, 3292.50, 3311.86, 176.40, 5.36, 28.78, 4046.37, 3997.87, 333.99, 8.25, 13.80, 5405.98, 5425.33, 382.14, 7.07, 12.75, 7940, 299017.19, 26.55, 225.03, 1500, 3991, 6566, 213, 2571.80, 3590.08, 3591.08, 4711.79, 4712.79, 5992.17, 299.02, 15-AUG-2019, 14:57:03, 15-AUG-2019, 14:57:03, 9.5, 3.0, 10, 0.12, ADM, Administrator, 
 3, hacat_25, 8872, 3039.86, 3011.57, 221.63, 7.29, 50.78, 4144.66, 4148.12, 332.57, 8.02, 16.92, 5404.85, 5436.31, 344.18, 6.37, 26.38, 3039.86, 3011.57, 221.63, 7.29, 28.62, 4144.66, 4148.12, 332.57, 8.02, 9.54, 5404.94, 5436.31, 344.44, 6.37, 14.89, 8872, 597837.56, 14.84, 125.76, 1500, 3991, 6566, 213, 2571.80, 3590.08, 3591.08, 4711.79, 4712.79, 5992.17, 597.84, 15-AUG-2019, 15:01:11, 15-AUG-2019, 15:01:11, 9.5, 3.0, 10, 0.12, ADM, Administrator, 
 4, hacat_50, 11595, 3800.75, 3800.32, 195.18, 5.14, 56.40, 4611.88, 4576.03, 298.43, 6.47, 20.92, 5902.27, 5917.43, 392.59, 6.65, 20.18, 3800.92, 3800.34, 195.22, 5.14, 24.35, 4612.22, 4576.22, 298.50, 6.47, 9.03, 5913.91, 5925.21, 398.81, 6.74, 8.86, 11595, 467770.66, 24.79, 210.07, 1500, 3991, 6566, 213, 3328.45, 4178.89, 4179.89, 5204.28, 5205.28, 6583.58, 467.77, 15-AUG-2019, 15:06:30, 01-JUN-2021, 11:43:15, 9.5, 3.0, 10, 0.12, sue-PC\sue, wanchein, 
